Time, RSSI 1, RSSI 2, CINR 1, CINR 2
10:42:27,-45.5,-34.5,10.0,10.0
10:42:33,-45.0,-34.5,10.0,10.0
10:42:39,-45.0,-35.0,12.0,12.5
10:42:45,-44.5,-35.0,11.0,11.5
10:42:51,-44.5,-34.5,11.0,12.0
10:42:57,-45.0,-35.5,10.0,10.5
10:43:03,-44.5,-35.0,9.5,9.0
10:43:09,-44.5,-35.5,11.0,10.5
10:43:15,-45.0,-34.5,9.5,10.0
10:43:21,-45.5,-34.5,10.5,10.5
10:43:27,-45.0,-34.5,10.0,10.5
10:43:33,-45.5,-34.5,10.5,11.0
10:43:39,-45.5,-36.0,10.0,10.0
10:43:45,-44.5,-35.0,12.0,11.5
10:43:51,-45.5,-36.0,10.0,10.5
10:43:57,-44.5,-35.0,12.5,12.0
10:44:03,-45.0,-34.5,10.0,10.5
10:44:09,-45.0,-35.5,11.0,12.0
10:44:15,-45.5,-35.5,10.5,11.0
10:44:21,-45.5,-35.5,10.0,9.5
10:44:27,-45.5,-36.0,10.0,11.0
10:44:33,-45.5,-35.0,10.0,10.5
10:44:39,-45.5,-35.0,10.0,10.0
10:44:45,-44.5,-35.5,10.0,10.5
10:44:51,-45.0,-35.0,10.5,11.0
10:44:57,-45.5,-35.0,10.0,10.0
10:45:03,-45.5,-35.0,11.0,11.0
10:45:09,-44.0,-35.5,10.0,10.0
10:45:15,-38.5,-36.0,12.0,12.0
10:45:21,-37.0,-36.5,11.5,10.0
10:45:27,-38.5,-36.0,10.0,10.5
10:45:33,-37.5,-36.0,11.0,9.5
10:45:39,-39.5,-35.5,10.5,8.5
10:45:45,-40.0,-36.0,11.5,11.5
10:45:51,-39.5,-35.0,12.0,12.0
10:45:57,-36.5,-37.0,10.5,10.5
10:46:03,-46.5,-42.5,10.5,10.5
10:46:09,-45.0,-45.0,11.0,11.5
10:46:15,-46.0,-40.0,10.5,10.5
10:46:21,-52.5,-43.5,10.5,10.5
10:46:27,-53.0,-47.5,10.5,10.5
10:46:33,-49.5,-51.5,10.5,10.5
10:46:39,-53.5,-54.0,10.5,10.5
10:46:45,-50.5,-52.5,11.5,10.5
10:46:51,-56.0,-54.0,11.5,11.0
10:46:57,-60.0,-55.5,10.0,10.0
10:47:03,-59.5,-66.0,11.0,10.5
10:47:09,-61.0,-62.0,10.0,10.0
10:47:15,-65.0,-64.0,11.0,11.0
10:47:21,-61.5,-66.0,10.0,10.0
10:47:27,-65.5,-64.0,10.5,10.5
10:47:33,-66.0,-69.5,10.0,9.5
10:47:39,-57.5,-63.0,10.0,10.0
10:47:45,-60.5,-69.0,10.5,11.0
10:47:51,-59.0,-67.5,11.0,11.5
10:47:57,-59.5,-68.5,11.0,11.0
10:48:03,-62.5,-65.5,12.0,12.0
10:48:09,-61.5,-67.0,11.5,12.0
10:48:15,-63.0,-66.5,10.0,10.5
10:48:21,-66.0,-69.5,11.0,11.0
10:48:27,-67.5,-69.0,8.5,8.5
10:48:33,-66.5,-69.0,10.5,10.5
10:48:39,-65.0,-68.5,10.0,10.0
10:48:45,-66.5,-68.5,10.0,10.0
10:48:51,-71.0,-72.0,10.0,10.0
10:48:57,-73.5,-74.5,10.0,10.0
10:49:03,-77.5,-77.5,9.0,9.5
10:49:09,-78.0,-80.5,11.0,11.0
10:49:15,-80.5,-82.5,10.0,10.0
10:49:21,-80.0,-82.5,10.0,10.5
10:49:27,-81.5,-83.5,10.0,10.0
10:49:33,-81.5,-84.5,9.0,8.5
10:49:39,-83.5,-85.5,9.0,9.5
10:49:45,-84.5,-87.0,8.0,8.5
10:49:51,-81.0,-86.5,9.5,9.0
10:49:57,-84.0,-85.5,8.5,9.0
10:50:03,-83.5,-85.0,8.5,9.0
10:50:09,-83.5,-85.0,8.5,9.0
10:50:15,-83.0,-86.5,8.5,8.5
10:50:21,-83.0,-87.5,8.5,8.5
10:50:27,-84.5,-84.5,9.0,9.5
10:50:33,-84.0,-88.0,8.0,8.0
10:50:39,-85.0,-84.0,8.5,10.0
10:50:46,-88.0,-90.0,8.0,8.0
10:50:51,-87.0,-88.0,9.0,9.0
10:50:57,-87.0,-89.0,9.0,8.5
10:51:03,-90.5,-89.0,7.5,8.5
10:51:10,-90.5,-92.0,7.5,7.5
10:51:15,-89.5,-93.5,8.0,6.5
10:51:22,-87.5,-92.5,8.5,7.5
10:51:28,-89.5,-93.5,8.0,7.0
10:51:34,-89.5,-95.5,8.0,5.5
10:51:40,-90.0,-92.0,8.0,8.0
10:51:46,-89.5,-91.0,8.0,8.0
10:51:52,-90.0,-93.0,7.0,7.0
10:51:59,-89.5,-94.5,8.0,6.5
10:52:03,-91.0,-94.0,7.0,7.0
10:52:10,-91.0,-94.5,6.5,6.5
10:52:16,-90.0,-91.0,7.0,7.0
10:52:22,-92.0,-92.5,7.0,7.5
10:52:27,-89.5,-93.0,8.0,7.0
10:52:34,-90.5,-91.0,7.5,8.5
10:52:40,-91.5,-92.5,7.0,7.5
10:52:46,-88.0,-90.0,8.5,8.0
10:52:52,-88.0,-92.5,8.0,7.5
10:52:58,-85.0,-90.5,10.5,8.0
10:53:04,-86.5,-90.0,8.5,8.5
10:53:09,-87.0,-90.0,9.0,8.5
10:53:15,-88.5,-87.5,8.5,9.0
10:53:21,-87.5,-88.0,8.0,9.0
10:53:27,-85.0,-85.5,8.5,9.5
10:53:33,-83.5,-87.0,10.0,9.0
10:53:39,-87.0,-84.5,8.5,8.5
10:53:45,-83.5,-84.5,10.0,10.0
10:53:51,-81.5,-84.5,9.0,9.0
10:53:57,-84.0,-83.5,9.0,9.5
10:54:03,-83.5,-83.0,9.0,9.5
10:54:09,-81.5,-80.5,9.0,9.5
10:54:15,-80.5,-77.5,9.5,9.5
10:54:21,-80.0,-72.5,10.0,10.0
10:54:27,-76.5,-70.0,11.0,11.0
10:54:33,-73.0,-66.5,11.5,12.0
10:54:39,-71.0,-64.5,10.5,10.5
10:54:45,-72.0,-65.0,12.0,12.0
10:54:51,-70.0,-65.5,10.5,10.5
10:54:57,-73.5,-66.0,9.0,9.0
10:55:03,-72.0,-65.5,11.0,12.0
10:55:09,-71.5,-64.5,10.0,9.5
10:55:15,-70.5,-64.5,10.5,10.5
10:55:21,-72.5,-66.5,9.5,9.5
10:55:27,-69.0,-64.5,11.0,10.5
10:55:33,-66.5,-63.5,10.0,10.0
10:55:39,-67.5,-64.5,12.0,12.0
10:55:45,-68.5,-65.0,9.5,9.5
10:55:51,-72.5,-68.0,10.0,10.0
10:55:57,-72.5,-69.0,10.5,10.5
10:56:03,-76.5,-74.5,11.0,11.5
10:56:09,-77.5,-77.0,10.0,9.0
10:56:15,-78.0,-77.5,9.5,9.0
10:56:21,-81.5,-78.5,9.0,9.5
10:56:27,-80.5,-79.0,9.0,9.0
10:56:33,-80.5,-79.5,9.0,9.5
10:56:39,-78.0,-82.0,10.0,9.0
10:56:45,-80.5,-81.5,9.5,9.5
10:56:51,-81.5,-82.0,9.0,8.5
10:56:57,-80.5,-84.5,10.0,9.0
10:57:03,-80.5,-87.0,9.0,8.5
10:57:09,-83.0,-85.5,9.5,9.0
10:57:15,-84.0,-84.0,9.0,9.5
10:57:21,-82.5,-86.5,9.0,9.5
10:57:27,-85.0,-85.0,8.5,9.5
10:57:33,-83.5,-87.5,9.0,8.5
10:57:39,-83.5,-87.0,9.5,9.5
10:57:46,-89.5,-91.0,8.0,7.5
10:57:52,-88.0,-92.5,8.0,7.5
10:57:59,-96.0,-98.5,5.5,5.0
10:58:03,-97.0,-102.5,4.0,1.5
10:58:10,-98.0,-102.0,3.5,1.5
10:58:16,-98.0,-102.0,3.5,1.5
10:58:22,-98.0,-102.0,2.5,1.5
10:58:27,-99.5,-102.0,2.5,1.5
10:58:34,-97.0,-101.0,2.5,2.5
10:58:40,-96.0,-101.0,4.0,2.5
10:58:46,-97.0,-102.0,4.0,2.5
10:58:52,-98.0,-101.0,3.5,2.5
10:58:58,-98.0,-102.0,2.5,2.0
10:59:04,-100.0,-103.0,-1.5,-1.0
10:59:10,-100.0,-102.5,-1.5,-1.0
10:59:15,-100.0,-102.5,-1.5,-1.0
10:59:22,-100.0,-102.0,-1.5,-1.0
10:59:28,-99.5,-103.0,-1.5,-1.0
10:59:34,-99.5,-102.5,-1.5,-1.0
10:59:39,-100.0,-103.0,-1.5,-1.0
10:59:46,-100.0,-102.0,-1.5,-1.0
10:59:52,-99.5,-103.0,-1.5,-1.0
10:59:58,-99.5,-102.5,-1.5,-1.0
11:00:04,-100.0,-102.5,-1.5,-1.0
